,Artist,Track,Spotify_ID,danceability,energy,acousticness,instrumentalness,liveness,valence,tempo,key,loudness,mode,duration_ms,time_signature
43,Coldplay,Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M,0.638,0.924,0.00205,0.000175,0.149,0.53,111.995,7,-3.887,1,263787,4
44,Fetty Wap,Again,3ESSGgWzRf1xvP7G5hHMhB,0.748,0.733,0.0062,0,0.329,0.291,93.019,11,-4.421,0,312240,4
45,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,7B201jmhlQoB7ENj8InAGz,0.685,0.767,0.106,0,0.163,0.722,113.827,9,-4.628,0,223827,4
46,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,0.152,0,0.0371,0.896,119.002,4,-5.446,0,219147,4
47,Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN,0.525,0.433,0.107,0,0.135,0.276,160.108,6,-10.598,1,194613,4
48,OMI,Cheerleader,023OVLNzXhX0j7CxswUt6D,0.78,0.68,0.141,1.2e-05,0.138,0.594,118.026,4,-6.081,1,180560,4
49,One Direction,Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0.109,0,0.0657,0.595,138.113,0,-5.672,0,192120,4
50,Flo Rida,My House,6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,0.0215,0,0.128,0.74,94.006,7,-4.792,0,192191,4
51,iLoveMemphis,Hit The Quan,4OjuzM3rTWp3q60mEldNSF,0.741,0.488,0.000235,0,0.0488,0.625,160.018,8,-8.253,1,181081,4
52,DeJ Loaf Featuring Big Sean,Back Up,0sr5LOMv4x0jmTYfe6oOvP,0.816,0.535,0.147,4.53e-06,0.176,0.435,80.012,9,-8.302,1,241267,4
53,Missy Elliott Featuring Pharrell Williams,WTF (Where They From),7IAa7vUJ11STN7le8XaxsH,0.932,0.819,0.0181,6.81e-06,0.0577,0.556,119.941,8,-3.484,0,192773,4
54,Adele,When We Were Young,7GgWAITsYJaRM3r50rfh5w,0.376,0.595,0.303,0,0.095,0.265,144.361,3,-5.936,1,290900,4
55,Emily Ann Roberts,Burning House,4hgrcrkcaHtsdKU35RZyn6,0.516,0.311,0.835,0,0.143,0.481,141.83,2,-5.842,1,186853,4
56,Yo Gotti Featuring Nicki Minaj,Down In The DM,1LxKKYsJNPeBdOwdudsJzv,0.776,0.662,0.00157,2.1e-05,0.0887,0.324,152.927,1,-7.016,0,182733,4
57,Brothers Osborne,Stay A Little Longer,23EkfwUdsRIz7jAZIcC8gb,0.557,0.886,0.0377,0.108,0.163,0.545,96.989,6,-5.356,1,335480,4
58,Justin Bieber,I'll Show You,0SNIAtRCPVVLoGEPcuHSIc,0.361,0.608,0.05,7.96e-05,0.183,0.0789,191.812,9,-6.757,0,199947,4
59,Charlie Puth,One Call Away,7soJgKhQTO8hLP2JPRkL5O,0.667,0.613,0.403,0,0.115,0.47,91.024,1,-5.353,1,194453,4
60,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,0RE8WWlaCQM6M4XHUK3u7b,0.501,0.966,0.0796,0,0.0903,0.497,161.881,8,-1.177,1,190773,4
61,Selena Gomez,Hands To Myself,5EAzCBzEWjYxV8KUqxmTMl,0.811,0.507,0.0146,2.14e-06,0.342,0.438,111.016,5,-7.161,0,200680,4
62,Blake Shelton,Gonna,57gS5wJqIH6sbtBIIiioNY,0.667,0.886,0.0265,0,0.0759,0.948,146.076,4,-5.12,1,182947,4
63,Chris Brown,Back To Sleep,6dlpABcXrQKRU9G00i6Zba,0.647,0.646,0.0424,0,0.0888,0.721,92.981,9,-5.483,0,201253,4
64,Nelly Featuring Jeremih,The Fix,33QRsLBBdWDYgCZfWEZqR6,0.812,0.479,0.0485,0,0.102,0.0873,95.505,8,-6.47,1,173045,4
65,Jason Aldean,Gonna Know We Were Here,0mMR63GfhjpxT02rIdq5Mz,0.447,0.896,0.0339,0,0.882,0.533,173.852,9,-5.57,1,224067,4
66,Gwen Stefani,Used To Love You,7dhB1xznh2bbCWrFjCSH5x,0.623,0.654,0.0183,1.73e-06,0.398,0.193,96.017,8,-5.408,1,227680,4
67,DLOW,Do It Like Me,0z9hbAY5d0RhmvZr3DWMPK,0.883,0.85,0.308,0,0.368,0.711,150.138,10,-4.053,0,146000,4
68,Cole Swindell,You Should Be Here,63thx7OANplv4I4BQsanHk,0.489,0.641,0.0592,0,0.0857,0.303,136.095,7,-4.455,1,190173,4
69,Drake & Future,Big Rings,7jslhIiELQkgW9IHeYNOWE,0.776,0.675,0.00196,0,0.227,0.27,131.984,8,-6.224,0,217707,4
70,Jana Kramer,I Got The Boy,6tbNaE7kvGNqS7FvJ0dzLB,0.625,0.569,0.26,0,0.127,0.361,149.987,0,-5.954,1,201013,4
71,Jordan Smith,Climb Every Mountain,6GtMaEfcLyzwfglzSlqzyX,0.211,0.498,0.447,7.72e-05,0.159,0.362,99.428,6,-5.391,1,190440,4
72,LOCASH,I Love This Life,21jkhW2773dELgTMRJcMfI,0.586,0.927,0.0164,7.24e-06,0.153,0.549,111.977,2,-3.014,1,208864,4
73,Drake,Back To Back,5lFDtgWsjRJu8fPOAyJIAK,0.893,0.48,0.00855,0,0.116,0.382,86.976,1,-3.728,0,170638,4
74,Rudimental Featuring Ed Sheeran,Lay It All On Me,38ismoqQYn75ruDSQ2Jtx8,0.669,0.747,0.141,0,0.185,0.483,122.531,6,-7.108,1,242440,4
75,Tim McGraw,Top Of The World,4pdoeoOQSu6DNznlfNc5FP,0.675,0.791,0.29,0,0.485,0.943,141.217,8,-5.64,1,233973,4
76,Rachel Platten,Stand By You,3kSXn1osC89W8JcPLozTzs,0.506,0.897,0.146,0.000451,0.0868,0.525,188.03,9,-4.632,1,219000,4
77,Young Thug,Best Friend,33JcUj9qQDayKswunZP9ar,0.959,0.598,0.0358,0,0.358,0.408,127.029,8,-5.534,1,213000,4
78,Fall Out Boy,Irresistible,3znPiywA0q1VK2jgAZFDoI,0.484,0.938,0.0706,0,0.236,0.444,165.049,2,-3.123,1,206507,4
79,Halsey,New Americana,6Xs7OKt6i0Ddq8B4M5Dgvr,0.339,0.707,0.0113,0,0.337,0.359,173.993,0,-5.121,0,183808,4
80,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,1TkWsnheqK0gBtvh07BtNX,0.858,0.697,0.114,0,0.224,0.364,98.013,2,-5.361,1,290836,4
81,Justin Bieber Featuring Halsey,The Feeling,7E390nZTMqEbrNC1TmHd42,0.525,0.809,0.0819,1.22e-06,0.0971,0.21,127.073,1,-6.185,0,244907,4
82,Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,2NAZcL9tLUkdMMb5v3xFVG,0.615,0.523,0.505,4.29e-06,0.11,0.693,127.932,7,-4.246,0,228750,4
83,Rae Sremmurd,Come Get Her,1Ser4X0TKttOvo8bgdytTP,0.689,0.564,0.187,0,0.0721,0.123,185.023,2,-6.226,1,212947,4
84,Dan + Shay,Nothin' Like You,4W38RXuQNuoTSwVsQA1OGC,0.589,0.704,0.151,0,0.067,0.437,84.956,4,-4.772,1,186253,4
85,Andy Grammer,Good To Be Alive (Hallelujah),3gHc5XTAywdFQUsHS6DD7G,0.797,0.896,0.0349,0,0.635,0.685,120.037,5,-3.678,1,189098,4
86,Kelsea Ballerini,Dibs,6FWrlXo99QRmPtOeUSWDjv,0.638,0.733,0.231,0,0.103,0.651,87.999,4,-4.7,1,183947,4
87,Luke Bryan,Strip It Down,5XFu5S1vBY7sNHlheCapOz,0.631,0.875,0.382,0,0.0867,0.705,137.961,9,-3.589,1,241613,4
88,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,5pfJsMwoRYKampPay8amX0,0.828,0.609,0.0916,1.21e-06,0.291,0.707,109.725,1,-4.402,1,292593,4
89,Jordan Smith & Adam Levine,God Only Knows,26BvbgWisvyequ09r52TDA,0.544,0.559,0.399,0,0.118,0.559,117.906,6,-3.713,0,168560,4
90,Granger Smith,Backroad Song,6naYpFIKihKbGg6lGxpveI,0.488,0.833,0.0352,0.0172,0.34,0.751,174.006,11,-6.571,1,236787,4
91,Dawin,Dessert,0mxoXsr14ILAYcXZBMJcOs,0.866,0.731,0.0796,0,0.0402,0.765,97.03,6,-5.226,1,210893,4
92,Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,3rsOs39rDAYxIOrDTHAgR9,0.755,0.701,0.085,0,0.452,0.384,81.514,1,-3.586,1,216653,4
93,Drake,Right Hand,3lSR267IJfT54p0Gfuw7mi,0.916,0.301,0.117,0,0.089,0.351,100.518,2,-7.657,1,190595,4
94,Bryson Tiller,Sorry Not Sorry,16bHRxM89ue0TiCKARYbRp,0.681,0.608,0.0477,0,0.225,0.262,97.934,1,-6.093,1,200760,4
95,Zac Brown Band,Beautiful Drug,6r2wRVeWXlNGFLX9OFF2zI,0.617,0.847,0.0369,2.84e-06,0.123,0.363,125.943,8,-5.447,0,191600,4
96,Carrie Underwood,Smoke Break,46W2wkCzFerbeQbNz3EIaa,0.453,0.839,0.0513,0,0.348,0.55,160.16,11,-3.702,1,198333,4
97,Tori Kelly,Hollow,160hN2OsDXnmgExwtG7cvD,0.606,0.656,0.0187,0.00654,0.44,0.454,126.044,2,-6.85,0,210606,4
98,Jordan Smith,Somebody To Love,3RWzLyBUqoBSX4jTAHo4TP,0.483,0.853,0.0755,0,0.223,0.39,111.001,8,-3.969,1,216213,3
99,Justin Bieber,Purpose,2IjyFRCRn8x1bEquOM3vxg,0.481,0.285,0.9,0,0.123,0.316,130.029,0,-10.848,1,210160,4
100,Nat King Cole,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,0.319,0.21,0.92,8.06e-05,0.138,0.209,78.696,1,-15.231,1,192160,4
101,Bobby Helms,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,0.643,0,0.0652,0.806,119.705,2,-8.463,1,130973,4
102,Chris Brown,Liquor,5u7o3wXWJI7AN1b9KIf3m8,0.686,0.342,0.0212,0,0.111,0.429,104.995,5,-8.555,0,224907,4
103,Chris Brown,Zero,3wrP2GVxWH8VpHPOsKhYgz,0.731,0.818,0.0517,0,0.0743,0.812,120.993,1,-4.564,0,214600,4
104,Lindsey Stirling,Hallelujah,1ekYzXIWgelL4Ai3pXMOfe,0.155,0.324,0.836,0.0637,0.0785,0.0776,177.201,2,-10.15,1,198093,3
105,Fetty Wap,RGF Island,1iuljeYz6ZG3GTJOZZkoer,0.746,0.764,0.00116,8.19e-06,0.0867,0.518,137.98,0,-5.066,0,173893,4
106,J Balvin,Ginza,4ow72lrTfZhdcEqF70J51R,0.749,0.815,0.228,0.00117,0.0838,0.866,102.218,5,-6.381,0,171093,4
107,Chris Brown,Little More (Royalty),4lvQiZUhHgG8Oldd8S97hd,0.632,0.516,0.0195,0,0.139,0.328,133.71,6,-8.088,1,260453,4
108,Kevin Gates,Really Really,10I3CmmwT0BkOVhduDy53o,0.762,0.666,0.00427,0,0.127,0.278,118.97,0,-6.055,1,232093,4
109,James Bay,Let It Go,13HVjjWUZFaWilh2QUJKsP,0.546,0.311,0.818,1.65e-05,0.107,0.246,147.464,1,-10.396,1,260533,4
110,Future,Stick Talk,20fAoPjfYltmd3K3bO7gbt,0.729,0.672,0.0265,0,0.244,0.595,159.903,7,-6.749,1,171333,4
111,Jason Derulo,Get Ugly,1dl3vuXJS9anUXE7XnNP75,0.75,0.683,0.0462,1.32e-06,0.297,0.539,111.066,9,-4.829,0,200492,4
112,2 Chainz,Watch Out,22DKsoYFV5npPXmnPpXL7i,0.899,0.504,0.826,0,0.052,0.537,129.89,8,-6.758,0,207813,4
113,Eric Church,Mr. Misunderstood,79dlQxvdsCDApoM8XChkpy,0.385,0.808,0.0629,0,0.33,0.546,129.22,7,-6.67,1,319240,4
114,Keith Urban,Break On Me.,2wu2C3Tij2Prb7LIbutDqB,0.618,0.764,0.379,0.000211,0.108,0.447,87.012,8,-7.086,1,208360,4
115,Fetty Wap Featuring Monty,Jugg,0W1OeXDPntUH0BeyJtE9UM,0.635,0.721,0.0324,0,0.222,0.499,148.064,10,-4.811,0,200253,4
116,Randy Houser,We Went,7JnorPtXApoUw2AuJUGLY1,0.646,0.882,0.097,0,0.311,0.544,101.997,4,-3.77,0,179360,4
117,Florida Georgia Line,Confession,6IFPfV8PNSYOmufzQ95hmm,0.549,0.878,0.106,6.07e-05,0.176,0.44,104.98,1,-5.066,1,190640,4
118,Taylor Swift,Out Of The Woods,5OndtwLGA9O6XHFcGm2H7r,0.552,0.841,0.00103,1.23e-05,0.337,0.342,91.993,7,-6.938,1,235800,4
119,Carrie Underwood,Heartbeat,05BgC2247XGi8ySwBzOO0o,0.54,0.766,0.606,0,0.0903,0.435,139.999,1,-4.478,1,209920,4
120,Jeremih,Oui,0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,0.213,0,0.112,0.604,78.521,5,-3.724,1,238320,5
121,Robin Schulz Featuring Francesco Yates,Sugar,5tf1VVWniHgryyumXyJM7w,0.636,0.815,0.0185,0,0.163,0.636,123.063,5,-5.098,0,219043,4
122,Kevin Gates,2 Phones,0wdKiSBUT7aZkXUIdJWcwC,0.895,0.681,0.157,0,0.189,0.554,121.918,7,-5.267,0,240000,4
123,Chris Stapleton,Nobody To Blame,4WRRCuJYRq7gUKiupxVH9W,0.534,0.666,0.0143,0.0615,0.113,0.59,87.401,9,-9.471,1,244147,4
124,Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,0.392,0.37,0.205,0.0096,0.0821,0.512,48.718,9,-10.888,1,293293,4
125,David Bowie,Lazarus,3Vn9oCZbdI1EMO7jxdz2Rc,0.66,0.695,0.0466,0.145,0.0854,0.506,129.972,9,-6.896,0,382387,4
126,David Bowie,Space Oddity,72Z17vmmeQKAg8bptWvpVG,0.31,0.403,0.0726,9.27e-05,0.139,0.466,134.48,0,-13.664,1,318027,4
127,Queen & David Bowie,Under Pressure,11IzgLRXV7Cgek3tEgGgjw,0.671,0.711,0.422,0,0.104,0.466,113.809,2,-7.813,1,248440,4
128,David Bowie,Blackstar,0Fao855T3klV3REFRFHRF3,0.366,0.552,0.206,0.0595,0.178,0.114,97.98,6,-8.35,1,597933,4
129,Brett Eldredge,Drunk On Your Love,1jNNHFZmRGXZFHlil5uhei,0.443,0.831,0.414,0,0.204,0.588,182.064,11,-5.606,1,173960,4
130,David Guetta Featuring Sia & Fetty Wap,Bang My Head,53Y0kdCa1CZ9gRqEuknfwy,0.599,0.869,0.0525,0.00719,0.103,0.593,108.061,0,-3.697,1,193333,4
131,Panic! At The Disco,Emperor's New Clothes,3px2rAPu74ltbkf9eZsZ8h,0.562,0.904,0.00302,0,0.0433,0.651,94.481,1,-4.947,1,158667,4
132,Mike Posner,I Took A Pill In Ibiza,1MtUq6Wp1eQ8PC6BbPCj8P,0.664,0.714,0.0353,8.42e-06,0.0843,0.71,101.969,7,-6.645,0,197933,4
133,Empire Of The Sun,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,0.257,7.52e-06,0.0589,0.716,126.975,5,-5.594,0,198440,4
134,Panic! At The Disco,Victorious,6od5hFv9IT5JHc7NEF9HRv,0.57,0.865,0.00205,0,0.404,0.691,110.01,8,-4.518,1,178600,4
135,Panic! At The Disco,Death Of A Bachelor,1BECwm5qkaBwlbfo4kpYx8,0.462,0.538,0.0137,0,0.429,0.405,139.256,0,-5.527,1,203507,4
136,DJ Snake Featuring Bipolar Sunshine,Middle,0g5EKLgdKvNlln7TNqBByK,0.583,0.695,0.0141,0,0.0527,0.224,104.879,9,-5.336,1,220573,4
137,Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,0.287,0,0.391,0.34,119.992,10,-5.829,1,237300,4
138,iLoveMemphis,Lean & Dabb,3anp5nvmUKwMBEIEL1sPHR,0.795,0.646,0.0192,0,0.278,0.619,80.027,8,-9.001,1,237054,4
139,The Weeknd,Acquainted,7uJH0YdSZL6psjxI6Xy08b,0.372,0.478,0.482,0,0.0844,0.254,101.102,7,-9.835,0,348853,4
140,Rihanna Featuring Drake,Work,72TFWvU3wUYdUuxejTTIzt,0.725,0.534,0.0752,0,0.0919,0.558,91.974,11,-6.238,1,219320,4
141,Wiz Khalifa Featuring Travi$ Scott,Bake Sale,2okC0OWtgS86P2LC18IzHy,0.855,0.522,0.196,0,0.1,0.355,139.917,3,-5.54,1,238530,4
142,Ellie Goulding,Something In The Way You Move,6Wytqpe4mfmyeT8s1xbczG,0.658,0.814,0.0398,0,0.114,0.316,109.004,1,-6.157,0,227423,4
143,Rascal Flatts,I Like The Sound Of That,5S5rw0WLVCAux5B5bWCehK,0.611,0.8,0.257,0,0.194,0.527,89.974,0,-5.61,1,209280,4
144,Maren Morris,My Church,1LM5zQv5pBKPyO7rm7Uz6U,0.517,0.743,0.243,3.36e-06,0.107,0.664,76.979,9,-4.336,1,197931,4
145,Brad Paisley,Country Nation,4yL5WpJZmoxAV4udhE55VY,0.387,0.861,0.0389,0.00047,0.1,0.482,177.94,4,-5.529,1,225413,4
146,Tim McGraw,Humble And Kind,4Pn0JlCUusD2QHjADuOzuV,0.355,0.48,0.679,2.28e-06,0.12,0.137,100.956,11,-7.31,1,259267,3
147,Curren$Y Featuring August Alsina & Lil Wayne,Bottom Of The Bottle,4WC72P8F0CnYmqoPYQ7JDD,0.739,0.539,0.0161,0,0.235,0.835,85.082,6,-9.735,1,238339,4
148,Dierks Bentley,Somewhere On A Beach,5CG9Ps5ynNjpKJHmwc95pa,0.569,0.638,0.000547,0,0.0848,0.438,144.042,7,-6.557,1,197120,4
149,Old Dominion,Snapback,7I5fYc4qKJddht8Ozhqqdx,0.687,0.793,0.302,3.46e-06,0.1,0.673,100.993,5,-3.577,1,206507,4
150,Zayn,Pillowtalk,0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,0.117,0,0.0939,0.438,124.944,11,-4.275,1,202747,4
151,Drake,Summer Sixteen,17Q87zeXgsAi9iQQbMu9v0,0.594,0.46,0.00354,2.71e-05,0.147,0.0541,146.274,1,-7.607,1,202451,4
152,Coldplay,Hymn For The Weekend,6O7OgzZfUQkV4h7uK3KYpw,0.491,0.693,0.211,6.92e-06,0.325,0.412,90.027,0,-6.487,0,258267,4
153,Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore,37FXw5QGFN7uwwsLy8uAc0,0.728,0.563,0.621,0,0.179,0.352,100.017,1,-8.053,0,217707,4
154,Troye Sivan,Youth,1cOyWWUr3oXJIxY0AjJEx9,0.628,0.737,0.0625,0,0.0777,0.592,91.507,7,-4.437,1,185194,4
155,Rihanna,Needed Me,4pAl7FkDMNBsjykPXo91B3,0.671,0.314,0.11,0,0.0825,0.296,110.898,5,-8.091,0,191600,4
156,One Direction,History,0HMjXBAZmSYOTTi33WpMso,0.655,0.699,0.0352,0,0.064,0.802,86.704,11,-4.421,1,187427,4
157,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",Jam,2IAaBzOLUtr2hqcwOItFWJ,0.744,0.633,0.0333,0,0.144,0.549,120.011,2,-7.732,1,213533,4
158,Sia,Alive,25R5Tdr4K7ENb6umHzdCXn,0.508,0.762,0.254,0.000122,0.108,0.444,99.963,6,-4.217,0,263520,4
159,Future Featuring The Weeknd,Low Life,7EiZI6JVHllARrX9PUvAdX,0.722,0.331,0.337,0.282,0.146,0.102,143.961,8,-7.789,1,313547,4
160,Future,Fly S**t Only,0DjGbGJ38WVWZ4njffE5CN,0.688,0.736,0.382,8.99e-06,0.358,0.498,110.035,2,-6.141,1,212987,4
161,Fetty Wap,Jimmy Choo,7s49Um7G06hq2rulrHPsIy,0.893,0.646,0.112,0,0.104,0.468,132.97,11,-5.073,0,176855,4
162,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,0.664,0.573,0.613,0.000363,0.0857,0.566,76.023,5,-6.519,1,160097,4
163,Nelly,Die A Happy Man,1mExCoXAGKI6abLGXoG7O3,0.65,0.745,0.0232,0,0.0754,0.167,88.032,1,-3.795,0,214495,4
164,The Chainsmokers Featuring Daya,Don't Let Me Down,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
165,Chase Rice,Whisper,6EdSZmWCQJfO8T66x9VCID,0.509,0.891,0.0138,0,0.063,0.631,128.108,2,-4.89,1,191213,4
